Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Cote d'Ivoire,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,        2492969.10,7.90823e+008,Kg
Indonesia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,        1190739.69,4.32427e+008,Kg
Nigeria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,        1048003.77,5.88438e+008,Kg
Ghana,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,         847376.54,2.81437e+008,Kg
Cameroon,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,         610990.35,1.93881e+008,Kg
Netherlands,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,         384658.93,1.11645e+008,Kg
Ecuador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,         350199.30,1.16318e+008,Kg
Belgium,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,         292164.76,8.22625e+007,Kg
Dominican Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,         164524.80,5.22089e+007,Kg
Estonia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,         123037.05,4.29822e+007,Kg
Malaysia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          85013.79,2.37075e+007,Kg
United States,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          70535.99,2.46098e+007,Kg
Germany,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          50648.91,1.51455e+007,Kg
Togo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          35938.46,1.1791e+007,Kg
Peru,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          35442.90,1.13228e+007,Kg
Uganda,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          35121.47,1.685e+007,Kg
Singapore,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          22328.35,6.98273e+006,Kg
Tanzania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          18908.77,7.38187e+006,Kg
European Union,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          18870.65,5.20312e+006,Kg
Colombia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          14510.03,4.51685e+006,Kg
United Kingdom,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          11152.97,4.06936e+006,Kg
Madagascar,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          11076.41,5.17598e+006,Kg
Venezuela,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,          10584.41,3.01684e+006,Kg
Turkey,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           6571.25,1.5075e+006,Kg
France,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           5819.21,1.2691e+006,Kg
Sao Tome and Principe,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           5399.94,2.41333e+006,Kg
Vietnam,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           4229.14,1.55132e+006,Kg
Vanuatu,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           3952.92,1.52524e+006,Kg
Panama,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           3234.99,1.24648e+006,Kg
Nicaragua,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           3127.07,1.84784e+006,Kg
Bolivia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           2378.72,699800,Kg
Trinidad and Tobago,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           2263.80,536400,Kg
Switzerland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           1933.24,388848,Kg
Mexico,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           1514.47,324491,Kg
India,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           1301.38,477369,Kg
Jamaica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           1186.79,378816,Kg
Italy,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           1168.29,436376,Kg
Brazil,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           1051.92,242672,Kg
Sri Lanka,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,           1036.10,254550,Kg
Canada,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,            913.42,353072,Kg
Costa Rica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,            738.42,315413,Kg
Philippines,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,            504.19,196147,Kg
Japan,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,            280.77,103142,Kg
South Africa,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,            265.24,121206,Kg
Honduras,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,            229.62,231887,Kg
New Zealand,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,            178.80,96593.3,Kg
St. Lucia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,            146.56,33387,Kg
"Congo, Rep.",Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             96.65,170245,Kg
Austria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             91.14,95114,Kg
"Serbia, FR(Serbia/Montenegro)",Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             86.75,21624,Kg
Ireland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             81.51,64063,Kg
Eswatini,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             63.42,36122,Kg
Syrian Arab Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             38.34,11150,Kg
Guatemala,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             38.21,32074,Kg
Luxembourg,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             36.37,294,Kg
Fiji,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             22.07,7514,Kg
Australia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             18.22,1909,Kg
El Salvador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             15.03,3175.66,Kg
Czech Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,             10.29,645,Kg
"Other Asia, nes",Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              9.83,1360,Kg
Central African Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              9.04,22500,Kg
Denmark,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              6.83,567,Kg
Sweden,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              6.40,2349,Kg
Poland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              2.63,331,Kg
Dominica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              2.52,480,Kg
Norway,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              2.21,29,Kg
Belize,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              1.96,4503,Kg
Kenya,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              1.49,16796,Kg
Israel,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              1.00,250,Kg
Ukraine,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              0.78,100,Kg
Portugal,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              0.33,20,Kg
Samoa,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              0.26,119,Kg
Namibia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              0.18,5,Kg
Botswana,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              0.15,59,Kg
Lebanon,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              0.15,13,Kg
Romania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              0.05,5,Kg
Thailand,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2010, World,              0.01,18,Kg
