Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
European Union,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,        5375492.81,1.68368e+009,Kg
Netherlands,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,        2549950.25,8.17272e+008,Kg
United States,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,        1327798.30,4.21198e+008,Kg
Germany,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,        1092689.66,3.42486e+008,Kg
Belgium,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,        1003825.58,3.06826e+008,Kg
Malaysia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         653922.50,2.13841e+008,Kg
France,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         485473.22,1.48836e+008,Kg
Spain,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         350380.98,1.10659e+008,Kg
Italy,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         312203.55,9.36669e+007,Kg
Turkey,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         281924.03,8.69852e+007,Kg
Singapore,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         268971.79,8.6457e+007,Kg
Japan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         218958.72,6.3191e+007,Kg
Canada,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         198749.99,5.99e+007,Kg
Indonesia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         184667.28,6.1016e+007,Kg
Brazil,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         181628.78,5.75067e+007,Kg
Russian Federation,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         158587.57,4.7793e+007,Kg
United Kingdom,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         137384.23,4.27944e+007,Kg
Switzerland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         127789.73,3.85768e+007,Kg
Estonia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,         111942.58,3.5581e+007,Kg
Mexico,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          89937.36,3.02076e+007,Kg
China,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          87015.86,2.94568e+007,Kg
Austria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          86078.80,2.74295e+007,Kg
India,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          80070.44,2.52436e+007,Kg
Poland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          38550.46,1.03831e+007,Kg
Ukraine,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          38148.52,1.12231e+007,Kg
Slovak Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          33399.33,1.09927e+007,Kg
Kazakhstan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          28523.02,7.78621e+006,Kg
"Iran, Islamic Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          26886.02,7.308e+006,Kg
"Korea, Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          26300.91,5.88359e+006,Kg
Belarus,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          24032.60,6.69455e+006,Kg
Denmark,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          14517.66,3.63401e+006,Kg
Greece,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          13692.79,4.1574e+006,Kg
Colombia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          13185.70,4.6434e+006,Kg
Tunisia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,          11163.80,3.44949e+006,Kg
Algeria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           7500.11,2.42246e+006,Kg
New Zealand,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           7338.87,1.98102e+006,Kg
"Serbia, FR(Serbia/Montenegro)",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           7271.28,2.00344e+006,Kg
Armenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           4818.26,1.47354e+006,Kg
Croatia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           4453.56,1.49977e+006,Kg
Peru,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           3938.54,1.37368e+006,Kg
Bosnia and Herzegovina,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           3754.41,1.07553e+006,Kg
Australia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           2606.72,665093,Kg
Philippines,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           2030.51,635451,Kg
El Salvador,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,           1276.61,874048,Kg
Argentina,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            988.47,291556,Kg
Guatemala,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            870.63,1.63566e+006,Kg
Sri Lanka,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            746.11,223095,Kg
South Africa,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            379.47,94078.8,Kg
Israel,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            359.00,63416,Kg
Bulgaria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            339.20,45922,Kg
Portugal,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            323.04,121847,Kg
Czech Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            297.45,38107,Kg
Sweden,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            281.76,22201,Kg
Finland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            267.34,32928,Kg
Nigeria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            265.51,79390,Kg
Slovenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            255.70,55860.5,Kg
Eswatini,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            245.82,189252,Kg
United Arab Emirates,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            155.72,22516.7,Kg
Ecuador,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            123.32,30000,Kg
Romania,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,            107.02,27912,Kg
Norway,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             86.00,7009,Kg
Latvia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             79.44,20360,Kg
Iceland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             75.43,8306,Kg
"Hong Kong, China",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             73.40,20800,Kg
"Other Asia, nes",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             71.62,13149,Kg
Madagascar,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             60.26,18564,Kg
Hungary,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             45.95,6330,Kg
Qatar,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             42.29,7158,Kg
Ireland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             41.24,8314,Kg
Uganda,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2016, World,             39.84,44182,Kg
