Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
European Union,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,        4208653.61,1.38425e+009,Kg
Netherlands,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,        1853541.17,6.50823e+008,Kg
United States,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,        1354137.23,4.37366e+008,Kg
Malaysia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         916776.73,2.98524e+008,Kg
Belgium,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         873249.03,2.63605e+008,Kg
Germany,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         764829.15,2.4464e+008,Kg
France,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         436066.07,1.37724e+008,Kg
Spain,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         349534.95,1.09096e+008,Kg
Indonesia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         341437.41,1.0941e+008,Kg
Italy,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         296393.80,9.17581e+007,Kg
Singapore,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         269607.63,8.1072e+007,Kg
Turkey,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         266702.48,9.11188e+007,Kg
Russian Federation,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         213144.47,6.08763e+007,Kg
Canada,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         202119.31,6.50272e+007,Kg
United Kingdom,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         178628.02,6.01874e+007,Kg
Switzerland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         142639.78,4.3294e+007,Kg
Estonia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         114277.04,3.95038e+007,Kg
Brazil,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         107690.29,3.80421e+007,Kg
China,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         106407.57,3.8301e+007,Kg
India,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         102796.36,3.18126e+007,Kg
Japan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         101528.05,3.17596e+007,Kg
Ukraine,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          64843.16,1.78801e+007,Kg
Thailand,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          57035.70,1.75388e+007,Kg
Austria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          49003.21,1.46895e+007,Kg
Poland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          47749.82,1.50485e+007,Kg
Kazakhstan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          23977.93,6.7424e+006,Kg
Belarus,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          23381.00,6.5409e+006,Kg
Slovak Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          22168.12,7.33937e+006,Kg
"Iran, Islamic Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          21591.61,6.22788e+006,Kg
Colombia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          19373.34,6.68836e+006,Kg
Tunisia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          18234.51,6.12535e+006,Kg
Algeria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          16337.99,5.43785e+006,Kg
"Korea, Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          15766.47,5.01493e+006,Kg
"Serbia, FR(Serbia/Montenegro)",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          14762.80,3.92803e+006,Kg
Greece,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          13417.66,3.94759e+006,Kg
Denmark,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          11355.27,3.34017e+006,Kg
Latvia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           6984.98,2.00633e+006,Kg
Armenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           5857.17,1.70534e+006,Kg
Mexico,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           5708.11,1.84304e+006,Kg
Croatia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           5518.60,1.55951e+006,Kg
New Zealand,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           4711.47,1.6092e+006,Kg
Nigeria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           3582.25,1.31081e+006,Kg
Philippines,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           1686.04,524105,Kg
Australia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           1663.00,387040,Kg
El Salvador,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           1272.64,876388,Kg
Bolivia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           1240.44,350322,Kg
Peru,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            945.57,448510,Kg
Qatar,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            887.39,105773,Kg
Argentina,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            710.07,237498,Kg
Bosnia and Herzegovina,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            690.48,214859,Kg
Sweden,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            592.29,37070,Kg
Guatemala,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            523.65,902769,Kg
Sri Lanka,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            341.84,107469,Kg
Portugal,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            311.58,102656,Kg
Czech Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            182.40,18911,Kg
Finland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            173.18,14855,Kg
Uganda,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            167.80,101807,Kg
Slovenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            166.89,28190,Kg
South Africa,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            142.71,25973.3,Kg
Solomon Islands,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            127.80,60000,Kg
Madagascar,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            125.07,35628,Kg
Chile,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            117.80,52025.8,Kg
Romania,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,            106.63,51533,Kg
Israel,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             98.00,15033,Kg
Saudi Arabia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             97.64,19000,Kg
Norway,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             94.15,5248,Kg
Lebanon,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             75.25,22790,Kg
Iceland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             74.17,5713,Kg
"Other Asia, nes",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             57.10,11439,Kg
Bulgaria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             54.17,12864,Kg
Bahrain,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             40.10,3505,Kg
"Hong Kong, China",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             38.61,7850,Kg
Hungary,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             38.32,6220,Kg
Kuwait,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             36.70,3739,Kg
Lithuania,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             30.90,3176,Kg
Lesotho,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             23.53,16478.8,Kg
Luxembourg,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             23.45,1386,Kg
United Arab Emirates,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             21.82,853.3,Kg
Dominican Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,             21.76,7964,Kg
