Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Cote d'Ivoire,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,        2679171.95,1.10833e+009,Kg
Nigeria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,        1542736.35,1.83506e+008,Kg
Ghana,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,        1380501.32,5.26187e+008,Kg
Netherlands,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,         491740.65,1.71586e+008,Kg
Cameroon,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,         453450.33,1.92836e+008,Kg
Indonesia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,         446094.72,1.8842e+008,Kg
Ecuador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,         433271.85,1.78273e+008,Kg
Belgium,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,         334551.78,1.21086e+008,Kg
Dominican Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,         162288.86,6.36289e+007,Kg
Estonia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,         131105.56,4.93621e+007,Kg
Malaysia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,         113920.36,4.29256e+007,Kg
Peru,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,          84446.95,3.12982e+007,Kg
Uganda,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,          54832.82,2.62829e+007,Kg
Germany,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,          45924.71,1.66556e+007,Kg
United States,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,          39655.93,1.72494e+007,Kg
Colombia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,          18310.56,7.69269e+006,Kg
Tanzania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,          16360.99,9.92579e+006,Kg
Togo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,          15075.71,6.22994e+006,Kg
France,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,          13791.82,3.4007e+006,Kg
Madagascar,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,          13177.83,6.05769e+006,Kg
Nicaragua,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2013, World,           9506.19,3.5309e+006,Kg
