Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Cote d'Ivoire,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,        3054921.70,1.11527e+009,Kg
Ghana,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,        2008156.87,7.91466e+008,Kg
Nigeria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         627032.94,,
Netherlands,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         609937.01,1.97271e+008,Kg
Ecuador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         587527.79,1.9889e+008,Kg
Cameroon,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         563631.94,1.92637e+008,Kg
Belgium,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         435317.52,1.35441e+008,Kg
Malaysia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         293040.51,9.35567e+007,Kg
Dominican Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         212116.27,6.81962e+007,Kg
Indonesia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         196492.39,6.33343e+007,Kg
Peru,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         152842.38,4.72309e+007,Kg
United States,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         143882.91,4.73783e+007,Kg
Estonia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,         122740.69,4.2252e+007,Kg
Uganda,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          59428.91,2.59386e+007,Kg
Germany,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          58838.19,1.81009e+007,Kg
France,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          34468.29,8.65542e+006,Kg
Togo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          29398.93,9.6174e+006,Kg
Colombia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          24352.66,8.01797e+006,Kg
Tanzania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          22138.64,1.10261e+007,Kg
Madagascar,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          20000.74,8.32601e+006,Kg
European Union,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          15054.88,3.78917e+006,Kg
Solomon Islands,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,          12911.08,4.96554e+006,Kg
Sao Tome and Principe,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           9334.86,3.19297e+006,Kg
Turkey,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           8506.92,2.27695e+006,Kg
Vietnam,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2014, World,           6216.35,,
