Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
European Union,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,        4596600.97,1.96312e+009,Kg
Netherlands,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,        2426257.00,1.07918e+009,Kg
United States,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         990250.57,4.15272e+008,Kg
Germany,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         844784.66,3.26437e+008,Kg
Malaysia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         787854.11,3.45489e+008,Kg
Belgium,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         592908.94,2.33626e+008,Kg
Indonesia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         528945.94,2.39377e+008,Kg
France,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         419066.58,1.65876e+008,Kg
United Kingdom,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         264470.65,1.1362e+008,Kg
Italy,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         256095.03,9.84061e+007,Kg
Spain,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         228220.91,9.999e+007,Kg
Canada,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         218727.45,,
Turkey,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         217209.20,9.76102e+007,Kg
Singapore,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         213233.69,,
Japan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         145721.94,5.86171e+007,Kg
Russian Federation,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         145038.43,5.52389e+007,Kg
Brazil,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         140322.24,6.24688e+007,Kg
Switzerland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,         127264.81,4.49838e+007,Kg
Mexico,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          93763.74,3.85432e+007,Kg
India,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          89603.21,4.05766e+007,Kg
China,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          74044.36,3.25516e+007,Kg
Austria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          71059.02,2.97149e+007,Kg
Estonia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          50007.21,2.14135e+007,Kg
Ukraine,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          41167.08,1.64391e+007,Kg
"Iran, Islamic Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          33320.60,8.29973e+006,Kg
Bulgaria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          33203.17,1.5305e+007,Kg
Poland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          31935.15,1.01544e+007,Kg
Slovak Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          25003.95,1.03783e+007,Kg
Kazakhstan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          24105.62,9.26981e+006,Kg
Belarus,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          18731.70,7.19679e+006,Kg
"Korea, Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          12878.35,4.73706e+006,Kg
Denmark,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          11854.09,4.3073e+006,Kg
Tunisia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2018, World,          10164.79,5.00006e+006,Kg
