Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Cote d'Ivoire,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,        2607138.45,9.16995e+008,Kg
Nigeria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,        1250868.14,2.40992e+008,Kg
Ghana,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,        1088777.32,3.95711e+008,Kg
Indonesia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,        1087484.65,4.39305e+008,Kg
Cameroon,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         543362.63,1.93973e+008,Kg
Ecuador,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         342648.02,1.26969e+008,Kg
Belgium,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         293848.45,9.65414e+007,Kg
Netherlands,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         267904.00,1.054e+008,Kg
Dominican Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,         143700.01,5.66859e+007,Kg
Estonia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          93067.63,3.50306e+007,Kg
Germany,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          43903.41,1.42914e+007,Kg
Malaysia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          37053.28,1.43895e+007,Kg
Togo,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          34396.67,1.4429e+007,Kg
Uganda,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          27829.47,1.38414e+007,Kg
United States,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          27106.60,1.11497e+007,Kg
European Union,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          22531.87,7.15987e+006,Kg
Peru,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          20531.95,7.62997e+006,Kg
Tanzania,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          20156.00,7.61272e+006,Kg
United Kingdom,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          17858.51,7.92165e+006,Kg
Solomon Islands,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          14967.91,6.26199e+006,Kg
Madagascar,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          14827.32,9.77038e+006,Kg
Singapore,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,          13849.98,5.19822e+006,Kg
Venezuela,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           7299.44,2.79181e+006,Kg
Sao Tome and Principe,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           6050.40,2.72758e+006,Kg
Colombia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           6041.78,2.1116e+006,Kg
Vanuatu,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           3209.27,1.47964e+006,Kg
Turkey,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           2754.56,743300,Kg
Nicaragua,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           2658.38,1.54125e+006,Kg
Vietnam,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           2426.92,954815,Kg
Tunisia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           2039.67,674006,Kg
Trinidad and Tobago,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           1972.65,466606,Kg
Jamaica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           1777.60,705466,Kg
India,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           1711.36,594701,Kg
Japan,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           1509.06,1.04222e+006,Kg
Panama,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           1363.44,723640,Kg
Bolivia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,           1162.20,305570,Kg
Brazil,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            936.45,236317,Kg
Switzerland,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            905.05,179650,Kg
France,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            878.05,333528,Kg
Italy,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            809.01,431454,Kg
"Korea, Rep.",Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            802.53,271750,Kg
Latvia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            736.54,220556,Kg
Philippines,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            464.83,298638,Kg
Costa Rica,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            424.25,177639,Kg
Slovak Republic,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            392.72,154507,Kg
Canada,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            314.88,141048,Kg
Honduras,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            302.83,271901,Kg
Spain,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            278.21,79919,Kg
Mexico,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            206.63,41854,Kg
Austria,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            185.87,45725,Kg
"Congo, Rep.",Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,            102.05,170034,Kg
St. Lucia,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,             83.48,29263,Kg
Gabon,Export,180100,"Cocoa beans; whole or broken, raw or roasted",2009, World,             73.50,70550,Kg
