Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
European Union,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,        1272663.96,1.21199e+009,Kg
Netherlands,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,         541066.89,5.44717e+008,Kg
United States,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,         435203.63,3.79691e+008,Kg
Germany,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,         215435.00,2.12164e+008,Kg
United Kingdom,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,         181285.14,1.4993e+008,Kg
France,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,         178132.27,1.62298e+008,Kg
Belgium,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,         103199.87,9.4466e+007,Kg
Malaysia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          93836.88,8.18676e+007,Kg
Italy,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          78692.09,7.51595e+007,Kg
Russian Federation,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          73535.08,6.38207e+007,Kg
Estonia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          65700.48,6.07936e+007,Kg
Japan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          59801.65,4.90655e+007,Kg
Canada,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          57826.14,59912,Kg
Spain,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          49915.41,4.80735e+007,Kg
Turkey,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          48608.79,3.74701e+007,Kg
Ukraine,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          37477.65,2.22823e+007,Kg
Switzerland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          32413.78,2.41089e+007,Kg
Poland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          31560.00,2.91988e+007,Kg
Brazil,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          31050.20,3.3931e+007,Kg
Singapore,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          28656.78,2.92221e+007,Kg
Indonesia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          27240.08,2.5617e+007,Kg
Austria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          27152.31,2.28567e+007,Kg
China,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          23086.41,2.11321e+007,Kg
Czech Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          19540.27,1.98519e+007,Kg
Thailand,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          15510.48,1.28968e+007,Kg
Slovak Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,          10100.43,7.79447e+006,Kg
Ireland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           9711.14,8.13436e+006,Kg
Philippines,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           8300.36,8.9909e+006,Kg
Belarus,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           7392.10,4.97832e+006,Kg
Denmark,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           6959.71,6.15614e+006,Kg
Greece,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           5079.84,1.94147e+007,Kg
Croatia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           5002.32,3.92021e+006,Kg
"Korea, Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           4397.98,3.29998e+006,Kg
"Serbia, FR(Serbia/Montenegro)",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           3968.59,2.79674e+006,Kg
South Africa,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           3920.69,4.32141e+006,Kg
Algeria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           3627.06,2.66218e+006,Kg
Kazakhstan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           3571.30,2.3671e+006,Kg
Lithuania,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           3337.26,2.54083e+006,Kg
India,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           3300.60,2.9575e+006,Kg
Mexico,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           2304.66,2.09975e+006,Kg
Tunisia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           2304.48,2.02697e+006,Kg
Latvia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           1539.45,1.15957e+006,Kg
"Iran, Islamic Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,           1182.93,855958,Kg
Romania,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            780.00,577000,Kg
Israel,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            752.00,617882,Kg
Colombia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            689.10,666225,Kg
Moldova,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            665.35,550830,Kg
Armenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            655.15,506153,Kg
Costa Rica,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            638.12,655863,Kg
Bulgaria,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            474.58,31250,Kg
Honduras,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            408.18,500094,Kg
Morocco,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            309.94,329937,Kg
New Zealand,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            300.41,201704,Kg
Argentina,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            265.33,193597,Kg
North Macedonia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            156.66,109589,Kg
Papua New Guinea,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,            109.73,1000,Kg
Australia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             98.23,215704,Kg
El Salvador,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             93.60,225448,Kg
Bolivia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             75.07,72140,Kg
Portugal,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             66.72,50327,Kg
Sri Lanka,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             50.31,45000,Kg
Lebanon,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             36.98,14279,Kg
Eswatini,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             33.63,50875,Kg
Namibia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             30.06,28800,Kg
Saudi Arabia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             27.47,5000,Kg
"Gambia, The",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             25.62,,
Samoa,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             17.91,17437,Kg
Sweden,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             12.13,7353,Kg
"Other Asia, nes",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             11.06,2000,Kg
"Bahamas, The",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,             10.68,1677,Kg
Kuwait,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              9.23,1611,Kg
Zambia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              7.40,3150,Kg
Andorra,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              5.00,1060,Kg
Tonga,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              3.99,966,Kg
Azerbaijan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              3.42,6177,Kg
Cameroon,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              2.94,1761,Kg
Norway,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              2.25,1005,Kg
Panama,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              1.92,1197,Kg
Nicaragua,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.81,1426,Kg
Niger,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.80,60,Kg
Luxembourg,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.78,229,Kg
Botswana,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.64,115,Kg
Uruguay,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.60,10425,Kg
Mongolia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.48,320,Kg
St. Kitts and Nevis,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.32,55,Kg
Slovenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.21,4,Kg
Malawi,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.13,19,Kg
Brunei,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.09,4,Kg
Tanzania,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.07,306,Kg
Bahrain,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.04,2,Kg
Finland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.04,6,Kg
Kyrgyz Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.04,35,Kg
Burkina Faso,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.03,30,Kg
Mayotte,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.03,40,Kg
Bangladesh,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.03,12,Kg
Faeroe Islands,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.01,4,Kg
Benin,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.01,12,Kg
Georgia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2001, World,              0.01,9,Kg
