Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Sweden,Export,180400,"Cocoa; butter, fat and oil",2014, World,             56.26,4408,Kg
Portugal,Export,180400,"Cocoa; butter, fat and oil",2014, World,             55.02,17134,Kg
Czech Republic,Export,180400,"Cocoa; butter, fat and oil",2014, World,             48.72,1961,Kg
Croatia,Export,180400,"Cocoa; butter, fat and oil",2014, World,             41.69,4698,Kg
Japan,Export,180400,"Cocoa; butter, fat and oil",2014, World,             35.11,2880,Kg
Occ.Pal.Terr,Export,180400,"Cocoa; butter, fat and oil",2014, World,             29.45,7363,Kg
Slovenia,Export,180400,"Cocoa; butter, fat and oil",2014, World,             27.67,1179,Kg
"Hong Kong, China",Export,180400,"Cocoa; butter, fat and oil",2014, World,             22.57,12035,Kg
United Arab Emirates,Export,180400,"Cocoa; butter, fat and oil",2014, World,             19.09,13692.4,Kg
Ukraine,Export,180400,"Cocoa; butter, fat and oil",2014, World,             16.94,1663,Kg
Bosnia and Herzegovina,Export,180400,"Cocoa; butter, fat and oil",2014, World,             15.40,5000,Kg
New Zealand,Export,180400,"Cocoa; butter, fat and oil",2014, World,             14.51,3011,Kg
Panama,Export,180400,"Cocoa; butter, fat and oil",2014, World,             14.26,1949,Kg
Zimbabwe,Export,180400,"Cocoa; butter, fat and oil",2014, World,             11.31,971,Kg
Trinidad and Tobago,Export,180400,"Cocoa; butter, fat and oil",2014, World,              7.27,850,Kg
Finland,Export,180400,"Cocoa; butter, fat and oil",2014, World,              6.51,402,Kg
Luxembourg,Export,180400,"Cocoa; butter, fat and oil",2014, World,              5.55,250,Kg
Barbados,Export,180400,"Cocoa; butter, fat and oil",2014, World,              4.30,252,Kg
Azerbaijan,Export,180400,"Cocoa; butter, fat and oil",2014, World,              3.94,2088,Kg
"Korea, Rep.",Export,180400,"Cocoa; butter, fat and oil",2014, World,              3.87,775,Kg
"Other Asia, nes",Export,180400,"Cocoa; butter, fat and oil",2014, World,              3.14,1000,Kg
Belarus,Export,180400,"Cocoa; butter, fat and oil",2014, World,              2.70,136,Kg
Guatemala,Export,180400,"Cocoa; butter, fat and oil",2014, World,              2.34,280,Kg
Guyana,Export,180400,"Cocoa; butter, fat and oil",2014, World,              1.92,253,Kg
Mongolia,Export,180400,"Cocoa; butter, fat and oil",2014, World,              1.51,504,Kg
Namibia,Export,180400,"Cocoa; butter, fat and oil",2014, World,              1.48,222,Kg
Uganda,Export,180400,"Cocoa; butter, fat and oil",2014, World,              0.74,75,Kg
Armenia,Export,180400,"Cocoa; butter, fat and oil",2014, World,              0.67,26,Kg
Madagascar,Export,180400,"Cocoa; butter, fat and oil",2014, World,              0.64,104,Kg
Samoa,Export,180400,"Cocoa; butter, fat and oil",2014, World,              0.60,301,Kg
New Caledonia,Export,180400,"Cocoa; butter, fat and oil",2014, World,              0.05,5,Kg
Botswana,Export,180400,"Cocoa; butter, fat and oil",2014, World,              0.01,2,Kg
