Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Netherlands,Export,180400,"Cocoa; butter, fat and oil",2007, World,        1076617.44,2.0925e+008,Kg
Malaysia,Export,180400,"Cocoa; butter, fat and oil",2007, World,         453820.62,1.03539e+008,Kg
France,Export,180400,"Cocoa; butter, fat and oil",2007, World,         366916.41,7.95921e+007,Kg
European Union,Export,180400,"Cocoa; butter, fat and oil",2007, World,         299553.06,6.01316e+007,Kg
Indonesia,Export,180400,"Cocoa; butter, fat and oil",2007, World,         230159.81,5.11489e+007,Kg
Cote d'Ivoire,Export,180400,"Cocoa; butter, fat and oil",2007, World,         214170.20,5.76854e+007,Kg
Brazil,Export,180400,"Cocoa; butter, fat and oil",2007, World,         155200.11,3.27438e+007,Kg
Singapore,Export,180400,"Cocoa; butter, fat and oil",2007, World,         104970.81,2.26395e+007,Kg
United States,Export,180400,"Cocoa; butter, fat and oil",2007, World,          99594.67,2.09872e+007,Kg
Ghana,Export,180400,"Cocoa; butter, fat and oil",2007, World,          85708.96,1.59204e+007,Kg
China,Export,180400,"Cocoa; butter, fat and oil",2007, World,          69471.96,1.611e+007,Kg
Nigeria,Export,180400,"Cocoa; butter, fat and oil",2007, World,          67880.99,1.72701e+007,Kg
Germany,Export,180400,"Cocoa; butter, fat and oil",2007, World,          67299.00,1.40602e+007,Kg
United Kingdom,Export,180400,"Cocoa; butter, fat and oil",2007, World,          56276.66,1.27731e+007,Kg
Spain,Export,180400,"Cocoa; butter, fat and oil",2007, World,          53409.64,1.0715e+007,Kg
Thailand,Export,180400,"Cocoa; butter, fat and oil",2007, World,          34930.43,7.23715e+006,Kg
Peru,Export,180400,"Cocoa; butter, fat and oil",2007, World,          27807.47,5.22249e+006,Kg
Belgium,Export,180400,"Cocoa; butter, fat and oil",2007, World,          25473.56,5.13431e+006,Kg
Turkey,Export,180400,"Cocoa; butter, fat and oil",2007, World,          20855.71,3.78968e+006,Kg
Italy,Export,180400,"Cocoa; butter, fat and oil",2007, World,          17403.33,3.28895e+006,Kg
Estonia,Export,180400,"Cocoa; butter, fat and oil",2007, World,          16391.09,3.14937e+006,Kg
Ecuador,Export,180400,"Cocoa; butter, fat and oil",2007, World,          16081.40,2.85267e+006,Kg
Canada,Export,180400,"Cocoa; butter, fat and oil",2007, World,          13603.07,2.54826e+006,Kg
Colombia,Export,180400,"Cocoa; butter, fat and oil",2007, World,          11545.91,2.35862e+006,Kg
Mexico,Export,180400,"Cocoa; butter, fat and oil",2007, World,           9516.24,2.07572e+006,Kg
Poland,Export,180400,"Cocoa; butter, fat and oil",2007, World,           7859.11,1.53843e+006,Kg
Dominican Republic,Export,180400,"Cocoa; butter, fat and oil",2007, World,           7636.35,1.94838e+006,Kg
Cameroon,Export,180400,"Cocoa; butter, fat and oil",2007, World,           5918.87,2.3352e+006,Kg
Algeria,Export,180400,"Cocoa; butter, fat and oil",2007, World,           4608.95,1e+006,Kg
Philippines,Export,180400,"Cocoa; butter, fat and oil",2007, World,           2565.40,714578,Kg
Honduras,Export,180400,"Cocoa; butter, fat and oil",2007, World,           1742.30,397843,Kg
India,Export,180400,"Cocoa; butter, fat and oil",2007, World,            908.23,202503,Kg
Lithuania,Export,180400,"Cocoa; butter, fat and oil",2007, World,            887.66,428370,Kg
Switzerland,Export,180400,"Cocoa; butter, fat and oil",2007, World,            865.07,123515,Kg
Bolivia,Export,180400,"Cocoa; butter, fat and oil",2007, World,            577.28,100475,Kg
Australia,Export,180400,"Cocoa; butter, fat and oil",2007, World,            565.91,119074,Kg
Austria,Export,180400,"Cocoa; butter, fat and oil",2007, World,            459.42,90413,Kg
"Serbia, FR(Serbia/Montenegro)",Export,180400,"Cocoa; butter, fat and oil",2007, World,            344.37,55520,Kg
Costa Rica,Export,180400,"Cocoa; butter, fat and oil",2007, World,            291.99,93322,Kg
Chile,Export,180400,"Cocoa; butter, fat and oil",2007, World,            200.30,36,Kg
Bulgaria,Export,180400,"Cocoa; butter, fat and oil",2007, World,            195.47,47340,Kg
Sweden,Export,180400,"Cocoa; butter, fat and oil",2007, World,            179.77,18714,Kg
Occ.Pal.Terr,Export,180400,"Cocoa; butter, fat and oil",2007, World,            175.91,44755,Kg
Greece,Export,180400,"Cocoa; butter, fat and oil",2007, World,            138.84,24825,Kg
South Africa,Export,180400,"Cocoa; butter, fat and oil",2007, World,            126.63,36862,Kg
Ireland,Export,180400,"Cocoa; butter, fat and oil",2007, World,            126.06,36870,Kg
Romania,Export,180400,"Cocoa; butter, fat and oil",2007, World,             51.98,7875,Kg
Lebanon,Export,180400,"Cocoa; butter, fat and oil",2007, World,             48.91,7927,Kg
Guatemala,Export,180400,"Cocoa; butter, fat and oil",2007, World,             37.61,9722,Kg
Finland,Export,180400,"Cocoa; butter, fat and oil",2007, World,             34.05,3820,Kg
Namibia,Export,180400,"Cocoa; butter, fat and oil",2007, World,             30.78,918,Kg
Saudi Arabia,Export,180400,"Cocoa; butter, fat and oil",2007, World,             28.28,5000,Kg
