Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Germany,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,         383150.00,1.02731e+008,Kg
France,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,         286792.39,7.41518e+007,Kg
Switzerland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,         181095.92,4.22505e+007,Kg
Ireland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,         169415.45,5.48875e+007,Kg
European Union,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,         160986.31,3.31367e+007,Kg
Belgium,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,         138340.12,2.95647e+007,Kg
Canada,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          88921.59,1.31284e+007,Kg
Austria,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          73824.26,1.97989e+007,Kg
United Kingdom,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          57655.42,1.07648e+007,Kg
United States,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          49463.30,1.15533e+007,Kg
Turkey,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          45836.67,2.61863e+007,Kg
Brazil,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          33319.28,1.41999e+007,Kg
Netherlands,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          26127.91,4.60738e+006,Kg
Sweden,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          25423.86,6.03468e+006,Kg
Spain,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          24065.71,7.79701e+006,Kg
Italy,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          22800.34,4.17675e+006,Kg
Russian Federation,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          18556.94,7.28645e+006,Kg
Poland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          15815.00,4.86117e+006,Kg
Mexico,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2003, World,          14945.59,6.96931e+006,Kg
