Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Netherlands,Export,180400,"Cocoa; butter, fat and oil",2019, World,        1569462.81,2.70112e+008,Kg
Indonesia,Export,180400,"Cocoa; butter, fat and oil",2019, World,         785448.24,1.44985e+008,Kg
Malaysia,Export,180400,"Cocoa; butter, fat and oil",2019, World,         612910.77,1.24589e+008,Kg
Germany,Export,180400,"Cocoa; butter, fat and oil",2019, World,         521963.01,9.03418e+007,Kg
France,Export,180400,"Cocoa; butter, fat and oil",2019, World,         430248.82,7.31116e+007,Kg
Cote d'Ivoire,Export,180400,"Cocoa; butter, fat and oil",2019, World,         373613.02,8.35256e+007,Kg
European Union,Export,180400,"Cocoa; butter, fat and oil",2019, World,         373113.00,6.42976e+007,Kg
Ghana,Export,180400,"Cocoa; butter, fat and oil",2019, World,         337275.68,6.92786e+007,Kg
Singapore,Export,180400,"Cocoa; butter, fat and oil",2019, World,         149890.80,2.66144e+007,Kg
Brazil,Export,180400,"Cocoa; butter, fat and oil",2019, World,         119965.43,2.06031e+007,Kg
United States,Export,180400,"Cocoa; butter, fat and oil",2019, World,         101420.69,2.4431e+007,Kg
Belgium,Export,180400,"Cocoa; butter, fat and oil",2019, World,         100912.00,1.81894e+007,Kg
Peru,Export,180400,"Cocoa; butter, fat and oil",2019, World,          89007.40,1.54208e+007,Kg
India,Export,180400,"Cocoa; butter, fat and oil",2019, World,          53867.48,1.01966e+007,Kg
Spain,Export,180400,"Cocoa; butter, fat and oil",2019, World,          49983.41,8.79313e+006,Kg
China,Export,180400,"Cocoa; butter, fat and oil",2019, World,          49366.65,9.47288e+006,Kg
United Kingdom,Export,180400,"Cocoa; butter, fat and oil",2019, World,          46905.14,8.71215e+006,Kg
Nigeria,Export,180400,"Cocoa; butter, fat and oil",2019, World,          44799.25,1.32287e+007,Kg
Turkey,Export,180400,"Cocoa; butter, fat and oil",2019, World,          40010.73,7.21866e+006,Kg
Ecuador,Export,180400,"Cocoa; butter, fat and oil",2019, World,          28500.68,,
Colombia,Export,180400,"Cocoa; butter, fat and oil",2019, World,          21060.18,3.83309e+006,Kg
Italy,Export,180400,"Cocoa; butter, fat and oil",2019, World,          19991.14,2.68482e+006,Kg
Canada,Export,180400,"Cocoa; butter, fat and oil",2019, World,          10613.99,1.76423e+006,Kg
Poland,Export,180400,"Cocoa; butter, fat and oil",2019, World,           6858.36,1.22572e+006,Kg
Mexico,Export,180400,"Cocoa; butter, fat and oil",2019, World,           5221.12,881265,Kg
Philippines,Export,180400,"Cocoa; butter, fat and oil",2019, World,           3901.50,580192,Kg
Bulgaria,Export,180400,"Cocoa; butter, fat and oil",2019, World,           2234.21,390685,Kg
Russian Federation,Export,180400,"Cocoa; butter, fat and oil",2019, World,           2029.46,333718,Kg
Switzerland,Export,180400,"Cocoa; butter, fat and oil",2019, World,           1864.13,268702,Kg
Lithuania,Export,180400,"Cocoa; butter, fat and oil",2019, World,           1424.40,230640,Kg
"Serbia, FR(Serbia/Montenegro)",Export,180400,"Cocoa; butter, fat and oil",2019, World,           1159.24,208382,Kg
Latvia,Export,180400,"Cocoa; butter, fat and oil",2019, World,            694.66,112408,Kg
Greece,Export,180400,"Cocoa; butter, fat and oil",2019, World,            564.91,88805,Kg
Bosnia and Herzegovina,Export,180400,"Cocoa; butter, fat and oil",2019, World,            357.89,64780,Kg
Norway,Export,180400,"Cocoa; butter, fat and oil",2019, World,            298.79,50556,Kg
United Arab Emirates,Export,180400,"Cocoa; butter, fat and oil",2019, World,            291.29,41729,Kg
Australia,Export,180400,"Cocoa; butter, fat and oil",2019, World,            287.80,48600,Kg
Austria,Export,180400,"Cocoa; butter, fat and oil",2019, World,            270.20,38528,Kg
Chile,Export,180400,"Cocoa; butter, fat and oil",2019, World,            198.80,20000,Kg
