Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Germany,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,         493094.00,1.20988e+008,Kg
France,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,         347696.98,8.30085e+007,Kg
Switzerland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,         218955.57,4.67394e+007,Kg
European Union,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,         215446.64,4.2112e+007,Kg
Belgium,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,         187287.98,3.69196e+007,Kg
Ireland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,         182314.63,5.05166e+007,Kg
Austria,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          86201.91,2.23977e+007,Kg
Canada,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          66492.61,1.12771e+007,Kg
United Kingdom,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          61935.85,1.03295e+007,Kg
Turkey,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          51440.73,2.77341e+007,Kg
United States,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          42115.12,9.51648e+006,Kg
Slovak Republic,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          37280.57,9.48236e+006,Kg
Spain,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          36167.73,1.1407e+007,Kg
Brazil,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          33315.17,1.54706e+007,Kg
Italy,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          32408.24,5.6392e+006,Kg
Sweden,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          29817.60,6.18397e+006,Kg
Poland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          28472.52,9.62947e+006,Kg
Russian Federation,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          26685.37,9.21508e+006,Kg
Netherlands,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          25354.74,4.77366e+006,Kg
Syrian Arab Republic,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          16371.70,2.739e+006,Kg
Croatia,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          14728.33,3.16503e+006,Kg
Mexico,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          13049.78,1.03997e+007,Kg
New Zealand,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          11897.31,2.95846e+006,Kg
Colombia,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,          10158.46,3.17713e+006,Kg
Czech Republic,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           9178.35,3.58861e+006,Kg
Denmark,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           9141.11,1.12547e+006,Kg
"Serbia, FR(Serbia/Montenegro)",Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           8700.50,2.53419e+006,Kg
Japan,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           8000.80,787043,Kg
Australia,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           6937.49,1.56262e+006,Kg
Ukraine,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           6914.48,3.20592e+006,Kg
Chile,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           6612.39,3168,Kg
Finland,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           6393.15,1.15489e+006,Kg
Indonesia,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           5987.02,4.0887e+006,Kg
Norway,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           5864.36,1.06649e+006,Kg
Argentina,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           5523.63,2.58696e+006,Kg
Peru,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           4662.28,1.75775e+006,Kg
South Africa,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           4129.82,929304,Kg
Tunisia,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           4122.74,1.19131e+006,Kg
Hungary,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           4008.00,1.94189e+006,Kg
China,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           3879.65,895673,Kg
Belarus,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           3281.50,855487,Kg
Greece,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           3268.84,674662,Kg
"Korea, Rep.",Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           3086.78,658621,Kg
Lithuania,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           2988.95,659798,Kg
Slovenia,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           2870.11,1.28872e+006,Kg
Singapore,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           2742.59,674811,Kg
Portugal,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           2628.39,343954,Kg
Bulgaria,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           2561.34,1.13151e+006,Kg
Venezuela,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           2202.54,347039,Kg
Costa Rica,Export,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",2004, World,           2149.22,807415,Kg
