Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Netherlands,Export,180400,"Cocoa; butter, fat and oil",2013, World,        1030933.69,2.38262e+008,Kg
Malaysia,Export,180400,"Cocoa; butter, fat and oil",2013, World,         378828.64,9.9942e+007,Kg
Indonesia,Export,180400,"Cocoa; butter, fat and oil",2013, World,         356763.57,8.68068e+007,Kg
France,Export,180400,"Cocoa; butter, fat and oil",2013, World,         344030.29,8.29482e+007,Kg
European Union,Export,180400,"Cocoa; butter, fat and oil",2013, World,         319843.41,7.24537e+007,Kg
Cote d'Ivoire,Export,180400,"Cocoa; butter, fat and oil",2013, World,         280655.51,7.24929e+007,Kg
Nigeria,Export,180400,"Cocoa; butter, fat and oil",2013, World,         269928.41,2.84119e+007,Kg
Germany,Export,180400,"Cocoa; butter, fat and oil",2013, World,         255548.97,6.00105e+007,Kg
Singapore,Export,180400,"Cocoa; butter, fat and oil",2013, World,         115879.68,3.05931e+007,Kg
China,Export,180400,"Cocoa; butter, fat and oil",2013, World,          88071.14,1.92613e+007,Kg
United States,Export,180400,"Cocoa; butter, fat and oil",2013, World,          70050.82,1.7816e+007,Kg
Ghana,Export,180400,"Cocoa; butter, fat and oil",2013, World,          65700.77,2.00381e+007,Kg
United Kingdom,Export,180400,"Cocoa; butter, fat and oil",2013, World,          53902.67,1.53313e+007,Kg
Brazil,Export,180400,"Cocoa; butter, fat and oil",2013, World,          51581.50,1.27738e+007,Kg
Estonia,Export,180400,"Cocoa; butter, fat and oil",2013, World,          49493.05,1.36788e+007,Kg
Peru,Export,180400,"Cocoa; butter, fat and oil",2013, World,          35084.97,8.15234e+006,Kg
Cameroon,Export,180400,"Cocoa; butter, fat and oil",2013, World,          32347.67,9.9318e+006,Kg
Ecuador,Export,180400,"Cocoa; butter, fat and oil",2013, World,          30503.72,6.54468e+006,Kg
Thailand,Export,180400,"Cocoa; butter, fat and oil",2013, World,          21600.96,5.3712e+006,Kg
Turkey,Export,180400,"Cocoa; butter, fat and oil",2013, World,          18156.69,3.71213e+006,Kg
India,Export,180400,"Cocoa; butter, fat and oil",2013, World,          17580.22,4.35447e+006,Kg
Mexico,Export,180400,"Cocoa; butter, fat and oil",2013, World,          16393.72,5.52164e+006,Kg
"Iran, Islamic Rep.",Export,180400,"Cocoa; butter, fat and oil",2013, World,          13226.47,3.78315e+006,Kg
Poland,Export,180400,"Cocoa; butter, fat and oil",2013, World,          12800.28,3.08635e+006,Kg
Italy,Export,180400,"Cocoa; butter, fat and oil",2013, World,          12585.00,2.33592e+006,Kg
Colombia,Export,180400,"Cocoa; butter, fat and oil",2013, World,          11897.30,2.96553e+006,Kg
Canada,Export,180400,"Cocoa; butter, fat and oil",2013, World,          11784.35,2.71397e+006,Kg
Belgium,Export,180400,"Cocoa; butter, fat and oil",2013, World,          10898.81,2.18596e+006,Kg
Bulgaria,Export,180400,"Cocoa; butter, fat and oil",2013, World,           8147.92,2.07584e+006,Kg
Algeria,Export,180400,"Cocoa; butter, fat and oil",2013, World,           5810.31,1.48e+006,Kg
Dominican Republic,Export,180400,"Cocoa; butter, fat and oil",2013, World,           4488.17,1.00217e+006,Kg
Philippines,Export,180400,"Cocoa; butter, fat and oil",2013, World,           2241.28,499272,Kg
Austria,Export,180400,"Cocoa; butter, fat and oil",2013, World,           2186.58,605956,Kg
Sri Lanka,Export,180400,"Cocoa; butter, fat and oil",2013, World,           1678.23,514006,Kg
"Serbia, FR(Serbia/Montenegro)",Export,180400,"Cocoa; butter, fat and oil",2013, World,           1468.47,385261,Kg
Venezuela,Export,180400,"Cocoa; butter, fat and oil",2013, World,           1353.76,496000,Kg
Switzerland,Export,180400,"Cocoa; butter, fat and oil",2013, World,           1279.06,259749,Kg
South Africa,Export,180400,"Cocoa; butter, fat and oil",2013, World,            968.76,144137,Kg
