Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Netherlands,Export,180400,"Cocoa; butter, fat and oil",2003, World,         567481.53,1.67062e+008,Kg
France,Export,180400,"Cocoa; butter, fat and oil",2003, World,         233738.61,6.53749e+007,Kg
European Union,Export,180400,"Cocoa; butter, fat and oil",2003, World,         168136.51,4.74935e+007,Kg
Cote d'Ivoire,Export,180400,"Cocoa; butter, fat and oil",2003, World,         161478.45,5.49436e+007,Kg
Malaysia,Export,180400,"Cocoa; butter, fat and oil",2003, World,         147806.61,4.9763e+007,Kg
Indonesia,Export,180400,"Cocoa; butter, fat and oil",2003, World,         118339.52,4.33542e+007,Kg
Brazil,Export,180400,"Cocoa; butter, fat and oil",2003, World,          99761.65,3.36374e+007,Kg
United States,Export,180400,"Cocoa; butter, fat and oil",2003, World,          66299.75,1.97611e+007,Kg
Singapore,Export,180400,"Cocoa; butter, fat and oil",2003, World,          53961.39,1.76579e+007,Kg
Turkey,Export,180400,"Cocoa; butter, fat and oil",2003, World,          38965.76,1.26245e+007,Kg
Spain,Export,180400,"Cocoa; butter, fat and oil",2003, World,          29373.47,8.27267e+006,Kg
Thailand,Export,180400,"Cocoa; butter, fat and oil",2003, World,          26283.32,7.4091e+006,Kg
Ghana,Export,180400,"Cocoa; butter, fat and oil",2003, World,          25382.28,9.56483e+006,Kg
United Kingdom,Export,180400,"Cocoa; butter, fat and oil",2003, World,          18382.87,5.58199e+006,Kg
Ecuador,Export,180400,"Cocoa; butter, fat and oil",2003, World,          16862.28,5.51837e+006,Kg
Germany,Export,180400,"Cocoa; butter, fat and oil",2003, World,          15563.00,4.5424e+006,Kg
Peru,Export,180400,"Cocoa; butter, fat and oil",2003, World,          15289.82,5.1502e+006,Kg
China,Export,180400,"Cocoa; butter, fat and oil",2003, World,          13579.55,4.46712e+006,Kg
Estonia,Export,180400,"Cocoa; butter, fat and oil",2003, World,          11546.81,3.12119e+006,Kg
Italy,Export,180400,"Cocoa; butter, fat and oil",2003, World,          10699.24,2.71356e+006,Kg
Philippines,Export,180400,"Cocoa; butter, fat and oil",2003, World,          10285.16,3.17367e+006,Kg
Mexico,Export,180400,"Cocoa; butter, fat and oil",2003, World,          10022.34,3.28493e+006,Kg
Poland,Export,180400,"Cocoa; butter, fat and oil",2003, World,           9487.00,2.49083e+006,Kg
Belgium,Export,180400,"Cocoa; butter, fat and oil",2003, World,           7991.35,2.21718e+006,Kg
Dominican Republic,Export,180400,"Cocoa; butter, fat and oil",2003, World,           7676.87,2.69284e+006,Kg
Colombia,Export,180400,"Cocoa; butter, fat and oil",2003, World,           7561.75,2.54317e+006,Kg
Czech Republic,Export,180400,"Cocoa; butter, fat and oil",2003, World,           6863.19,1.76877e+006,Kg
Canada,Export,180400,"Cocoa; butter, fat and oil",2003, World,           5441.85,1.45191e+006,Kg
Algeria,Export,180400,"Cocoa; butter, fat and oil",2003, World,           3629.36,1.068e+006,Kg
"Hong Kong, China",Export,180400,"Cocoa; butter, fat and oil",2003, World,           2393.90,4.87392e+006,Kg
Cameroon,Export,180400,"Cocoa; butter, fat and oil",2003, World,           1830.23,518400,Kg
Honduras,Export,180400,"Cocoa; butter, fat and oil",2003, World,           1162.00,370704,Kg
Venezuela,Export,180400,"Cocoa; butter, fat and oil",2003, World,            929.84,273020,Kg
Costa Rica,Export,180400,"Cocoa; butter, fat and oil",2003, World,            777.08,256511,Kg
Cuba,Export,180400,"Cocoa; butter, fat and oil",2003, World,            587.88,216000,Kg
Bolivia,Export,180400,"Cocoa; butter, fat and oil",2003, World,            557.60,111800,Kg
Switzerland,Export,180400,"Cocoa; butter, fat and oil",2003, World,            490.61,80931,Kg
Japan,Export,180400,"Cocoa; butter, fat and oil",2003, World,            289.80,100450,Kg
Panama,Export,180400,"Cocoa; butter, fat and oil",2003, World,            246.03,77000,Kg
New Zealand,Export,180400,"Cocoa; butter, fat and oil",2003, World,            172.78,51497,Kg
Slovak Republic,Export,180400,"Cocoa; butter, fat and oil",2003, World,            151.40,37800,Kg
Lebanon,Export,180400,"Cocoa; butter, fat and oil",2003, World,            119.71,28835,Kg
Croatia,Export,180400,"Cocoa; butter, fat and oil",2003, World,             76.18,20000,Kg
Lithuania,Export,180400,"Cocoa; butter, fat and oil",2003, World,             60.82,13110,Kg
Argentina,Export,180400,"Cocoa; butter, fat and oil",2003, World,             55.75,14002,Kg
Saudi Arabia,Export,180400,"Cocoa; butter, fat and oil",2003, World,             45.33,23000,Kg
Jordan,Export,180400,"Cocoa; butter, fat and oil",2003, World,             40.65,28650,Kg
South Africa,Export,180400,"Cocoa; butter, fat and oil",2003, World,             36.91,14094,Kg
"Iran, Islamic Rep.",Export,180400,"Cocoa; butter, fat and oil",2003, World,             36.03,17500,Kg
Uganda,Export,180400,"Cocoa; butter, fat and oil",2003, World,             24.25,14400,Kg
Australia,Export,180400,"Cocoa; butter, fat and oil",2003, World,             23.75,6215,Kg
Austria,Export,180400,"Cocoa; butter, fat and oil",2003, World,             17.86,6751,Kg
Guatemala,Export,180400,"Cocoa; butter, fat and oil",2003, World,             17.56,6096,Kg
India,Export,180400,"Cocoa; butter, fat and oil",2003, World,             16.42,6172,Kg
Russian Federation,Export,180400,"Cocoa; butter, fat and oil",2003, World,             15.28,15101,Kg
Eswatini,Export,180400,"Cocoa; butter, fat and oil",2003, World,             12.64,4548,Kg
Bulgaria,Export,180400,"Cocoa; butter, fat and oil",2003, World,             10.19,7000,Kg
Sweden,Export,180400,"Cocoa; butter, fat and oil",2003, World,              8.93,2250,Kg
Finland,Export,180400,"Cocoa; butter, fat and oil",2003, World,              5.04,579,Kg
"Korea, Rep.",Export,180400,"Cocoa; butter, fat and oil",2003, World,              3.51,53,Kg
Barbados,Export,180400,"Cocoa; butter, fat and oil",2003, World,              2.18,329,Kg
Portugal,Export,180400,"Cocoa; butter, fat and oil",2003, World,              1.88,741,Kg
"Other Asia, nes",Export,180400,"Cocoa; butter, fat and oil",2003, World,              1.70,526,Kg
Slovenia,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.93,68,Kg
Belarus,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.70,1000,Kg
Samoa,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.33,125,Kg
Ukraine,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.21,26,Kg
Vietnam,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.19,58,Kg
Jamaica,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.18,14,Kg
Luxembourg,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.16,18,Kg
Sri Lanka,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.14,6,Kg
New Caledonia,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.12,37,Kg
Latvia,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.03,7,Kg
Namibia,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.02,6,Kg
Trinidad and Tobago,Export,180400,"Cocoa; butter, fat and oil",2003, World,              0.01,80,Kg
